# hega-rs ver.0.2.9 particle compilation : Particles([-2212]); total-items=616
#	 sourceUrQmdF19 in Lab: false
id;	mass;	charge;	p;	beta;
-2212;	0.938;	-1;	6.2765375390994835;	0.9890166654323315;
-2212;	0.938;	-1;	0.3519501699321085;	0.35129860200277874;
-2212;	0.938;	-1;	2.040223391223863;	0.9085754385030671;
-2212;	0.938;	-1;	0.80103726693956;	0.6494056635310598;
-2212;	0.938;	-1;	3.111947453042387;	0.9574515486635328;
-2212;	0.938;	-1;	5.223358321017715;	0.9842556673539427;
-2212;	0.938;	-1;	0.5615580795592121;	0.5136602235592671;
-2212;	0.938;	-1;	0.9359388520786227;	0.7063286062131007;
-2212;	0.938;	-1;	0.738177488211338;	0.6184313017496721;
-2212;	0.938;	-1;	2.3448141150933477;	0.9284665382496912;
-2212;	0.938;	-1;	3.86886798521092;	0.9718447789169472;
-2212;	0.938;	-1;	5.459899015714943;	0.9855615489385802;
-2212;	0.938;	-1;	6.4052222405415415;	0.9894466644299312;
-2212;	0.938;	-1;	4.582725938480829;	0.9796887236851477;
-2212;	0.938;	-1;	4.196167348559516;	0.9759145105143686;
-2212;	0.938;	-1;	2.6454795226879004;	0.9425083967889035;
-2212;	0.938;	-1;	3.047204474530713;	0.9557438592784546;
-2212;	0.938;	-1;	0.8162200067690083;	0.6564387203172107;
-2212;	0.938;	-1;	4.790097125077633;	0.9813614836331861;
-2212;	0.938;	-1;	5.5793477035650865;	0.9861605222272928;
-2212;	0.938;	-1;	2.2720459457768456;	0.9243265488975345;
-2212;	0.938;	-1;	4.63235903047437;	0.9801088092455498;
-2212;	0.938;	-1;	2.0388450549418904;	0.9084682436121364;
-2212;	0.938;	-1;	2.4414179331773576;	0.9334745362867591;
-2212;	0.938;	-1;	6.176661602751522;	0.9886646606825809;
-2212;	0.938;	-1;	3.1618489636352862;	0.9587025967880441;
-2212;	0.938;	-1;	2.7469508934789864;	0.9463480894833286;
-2212;	0.938;	-1;	1.5678122000951644;	0.8581411715232273;
-2212;	0.938;	-1;	1.7885699235660315;	0.8856014402111344;
-2212;	0.938;	-1;	7.453547455976114;	0.9921742100047186;
-2212;	0.938;	-1;	2.0358701267860875;	0.9082362672577575;
-2212;	0.938;	-1;	3.237346050048712;	0.9604950138332455;
-2212;	0.938;	-1;	1.695590722832901;	0.8750310602628558;
-2212;	0.938;	-1;	3.11319807244014;	0.9574835777494064;
-2212;	0.938;	-1;	1.6580754402619926;	0.870376831365767;
-2212;	0.938;	-1;	0.8124758877735943;	0.6547200039226992;
-2212;	0.938;	-1;	4.099271644856808;	0.9748056033301364;
-2212;	0.938;	-1;	5.10996248604136;	0.9835664676768122;
-2212;	0.938;	-1;	2.011959251829172;	0.9063409136459062;
-2212;	0.938;	-1;	0.6049291581805262;	0.5419800097375108;
-2212;	0.938;	-1;	0.26850353884234024;	0.2751982373629639;
-2212;	0.938;	-1;	4.820580722073327;	0.9815900157609315;
-2212;	0.938;	-1;	3.399211362510581;	0.9639717856195573;
-2212;	0.938;	-1;	4.995009772547097;	0.9828209823575453;
-2212;	0.938;	-1;	1.0479642199545747;	0.7451184151039398;
-2212;	0.938;	-1;	8.41141244902638;	0.9938395819506749;
-2212;	0.938;	-1;	5.1709295049211415;	0.9839424685915615;
-2212;	0.938;	-1;	0.3982748554023089;	0.3908288076365392;
-2212;	0.938;	-1;	1.4425026805607677;	0.838344479152985;
-2212;	0.938;	-1;	1.3459067100557156;	0.8204142341888965;
-2212;	0.938;	-1;	4.772042859643865;	0.9812241398076627;
-2212;	0.938;	-1;	6.563392648453409;	0.9899416269117663;
-2212;	0.938;	-1;	3.3179637316462633;	0.9622855211382064;
-2212;	0.938;	-1;	1.5257800694493948;	0.8518928854978544;
-2212;	0.938;	-1;	0.9681962742801689;	0.7182180314875588;
-2212;	0.938;	-1;	7.6623046198973315;	0.9925901605265448;
-2212;	0.938;	-1;	1.8773025184980843;	0.8945512888664656;
-2212;	0.938;	-1;	3.8707961930389723;	0.9718716504186404;
-2212;	0.938;	-1;	3.564947351429471;	0.9670841533616277;
-2212;	0.938;	-1;	0.48218974999678293;	0.45719035333187524;
-2212;	0.938;	-1;	6.220562512255885;	0.9888214285445404;
-2212;	0.938;	-1;	1.1788253945360185;	0.7825046789481235;
-2212;	0.938;	-1;	1.695590722832901;	0.8750310602628558;
-2212;	0.938;	-1;	3.037883290880675;	0.9554897505710533;
-2212;	0.938;	-1;	1.9277299476267415;	0.8992010600995017;
-2212;	0.938;	-1;	3.4003925322569746;	0.9639954756784481;
-2212;	0.938;	-1;	2.016333287213203;	0.9066917809192346;
-2212;	0.938;	-1;	1.0380439102200831;	0.7419561601572636;
-2212;	0.938;	-1;	5.0601696130780045;	0.9832495801771584;
-2212;	0.938;	-1;	2.2765876117055632;	0.9245949190743166;
-2212;	0.938;	-1;	1.0928594882957279;	0.7588230113715776;
-2212;	0.938;	-1;	1.8207279410581911;	0.888964768242982;
-2212;	0.938;	-1;	7.096002241628987;	0.9913761377165358;
-2212;	0.938;	-1;	4.066697073561048;	0.9744157883331194;
-2212;	0.938;	-1;	9.864679755159226;	0.9955096847368753;
-2212;	0.938;	-1;	3.363681722304571;	0.9632483219492419;
-2212;	0.938;	-1;	3.176343199703748;	0.9590558539936183;
-2212;	0.938;	-1;	0.3737870118948759;	0.37018401110319404;
-2212;	0.938;	-1;	5.761863892477155;	0.9870066680031419;
-2212;	0.938;	-1;	7.426512252874831;	0.9921178019776077;
-2212;	0.938;	-1;	4.952364292015885;	0.9825315875739352;
-2212;	0.938;	-1;	4.843923538522878;	0.9817622105101901;
-2212;	0.938;	-1;	2.7527889356846886;	0.9465575172745379;
-2212;	0.938;	-1;	0.6701476659281893;	0.5813230092717167;
-2212;	0.938;	-1;	0.7573876776677582;	0.628222795296457;
-2212;	0.938;	-1;	1.7791725860590368;	0.8845914956239467;
-2212;	0.938;	-1;	2.1507803403165093;	0.9166209592202588;
-2212;	0.938;	-1;	3.5996510569610773;	0.9676854850016731;
-2212;	0.938;	-1;	1.2178493185632613;	0.7922488330594265;
-2212;	0.938;	-1;	5.063503253871845;	0.9832710785605192;
-2212;	0.938;	-1;	3.721399562889344;	0.969671659889409;
-2212;	0.938;	-1;	4.579251731672872;	0.9796588266435072;
-2212;	0.938;	-1;	0.817683262393208;	0.6571076547567182;
-2212;	0.938;	-1;	3.781845550918229;	0.9705913971402518;
-2212;	0.938;	-1;	1.6859761810280713;	0.8738608178574502;
-2212;	0.938;	-1;	3.869921151740562;	0.9718594605459995;
-2212;	0.938;	-1;	2.5881372819401314;	0.9401593129414023;
-2212;	0.938;	-1;	1.484330661939246;	0.8453531108547795;
-2212;	0.938;	-1;	1.4152639359455184;	0.8335448594281971;
-2212;	0.938;	-1;	2.068701379693067;	0.9107506552815291;
-2212;	0.938;	-1;	3.4964686302206403;	0.9658481569765799;
-2212;	0.938;	-1;	3.0370845618166444;	0.9554678766621534;
-2212;	0.938;	-1;	2.830594622708981;	0.9492383287988557;
-2212;	0.938;	-1;	4.8948756582394415;	0.9821298551947041;
-2212;	0.938;	-1;	1.2933857423831454;	0.8095225910289632;
-2212;	0.938;	-1;	4.465708032615657;	0.9786446224129312;
-2212;	0.938;	-1;	0.3622251071140155;	0.36024006467465813;
-2212;	0.938;	-1;	1.5180596945622526;	0.850704056420661;
-2212;	0.938;	-1;	0.7289238222100098;	0.6136092107824673;
-2212;	0.938;	-1;	3.113825386361605;	0.9574996302988391;
-2212;	0.938;	-1;	6.084700683679765;	0.988325461233376;
-2212;	0.938;	-1;	3.982882880782336;	0.9733707755378532;
-2212;	0.938;	-1;	2.799386450940277;	0.948187156732301;
-2212;	0.938;	-1;	0.42950214053599317;	0.41632263054216506;
-2212;	0.938;	-1;	1.8304952415147109;	0.8899586684903555;
-2212;	0.938;	-1;	1.7701494326844274;	0.8836099096445283;
-2212;	0.938;	-1;	0.7288654877643749;	0.613578592589208;
-2212;	0.938;	-1;	1.7960152560020892;	0.8863927809674068;
-2212;	0.938;	-1;	5.775804881159855;	0.9870681060094736;
-2212;	0.938;	-1;	3.7680151377190616;	0.9703846271841683;
-2212;	0.938;	-1;	4.66145281681205;	0.9803490824545431;
-2212;	0.938;	-1;	0.7400876226671339;	0.6194180740239357;
-2212;	0.938;	-1;	2.205464618745447;	0.9202291205665342;
-2212;	0.938;	-1;	5.758448116638805;	0.9869915483210839;
-2212;	0.938;	-1;	1.3602569392302322;	0.8232433992088596;
-2212;	0.938;	-1;	4.624615680837166;	0.980044125107948;
-2212;	0.938;	-1;	0.7750911493637377;	0.6369896797687621;
-2212;	0.938;	-1;	3.941754614030914;	0.9728347354204255;
-2212;	0.938;	-1;	5.606212355479251;	0.9862901318182627;
-2212;	0.938;	-1;	1.534482936095739;	0.8532173968024169;
-2212;	0.938;	-1;	8.812154897375557;	0.9943825405136054;
-2212;	0.938;	-1;	7.677838716110478;	0.9926197831576792;
-2212;	0.938;	-1;	0.2207597338929065;	0.22909228591902556;
-2212;	0.938;	-1;	0.7073511980091644;	0.6020959412997701;
-2212;	0.938;	-1;	1.9323644255566805;	0.8996137019405743;
-2212;	0.938;	-1;	2.2791091576978055;	0.9247433271238105;
-2212;	0.938;	-1;	4.574990344704238;	0.9796220662823595;
-2212;	0.938;	-1;	1.279151986879198;	0.8064184614071337;
-2212;	0.938;	-1;	8.217154103883534;	0.9935477136164486;
-2212;	0.938;	-1;	1.7960152560020892;	0.8863927809674068;
-2212;	0.938;	-1;	13.34912337312518;	0.9975403937140908;
-2212;	0.938;	-1;	5.5347578127218;	0.985941332329587;
-2212;	0.938;	-1;	3.5266141384683696;	0.966400552228307;
-2212;	0.938;	-1;	2.407793807705886;	0.9317906759914892;
-2212;	0.938;	-1;	1.5084618444060824;	0.8492076983569139;
-2212;	0.938;	-1;	2.0434255619466546;	0.9088237841128322;
-2212;	0.938;	-1;	5.89063740227906;	0.9875581037312772;
-2212;	0.938;	-1;	1.0047104193557463;	0.7309571775103962;
-2212;	0.938;	-1;	6.66463437717554;	0.9902404720948298;
-2212;	0.938;	-1;	3.1367783482026588;	0.9580809183530222;
-2212;	0.938;	-1;	3.4238140401268877;	0.9644605297188805;
-2212;	0.938;	-1;	2.014604585942363;	0.9065533360011967;
-2212;	0.938;	-1;	7.197966897543378;	0.9916156919089827;
-2212;	0.938;	-1;	4.091804395400396;	0.9747170246866725;
-2212;	0.938;	-1;	2.1959245824212634;	0.9196160165287361;
-2212;	0.938;	-1;	1.381776146563632;	0.8273738846726983;
-2212;	0.938;	-1;	3.8907508934580997;	0.9721475260607215;
-2212;	0.938;	-1;	2.4752339638242282;	0.9351079536680184;
-2212;	0.938;	-1;	7.561968746545174;	0.9923944738043691;
-2212;	0.938;	-1;	1.6264694049627864;	0.8662657411871661;
-2212;	0.938;	-1;	1.1185352248154725;	0.7662341465841602;
-2212;	0.938;	-1;	3.8466781413775704;	0.9715327903883845;
-2212;	0.938;	-1;	4.305300625039149;	0.977078975198978;
-2212;	0.938;	-1;	3.6535562276193314;	0.9685878736690686;
-2212;	0.938;	-1;	1.6552218848541123;	0.8700129574346112;
-2212;	0.938;	-1;	0.5792579352674333;	0.5254304991009563;
-2212;	0.938;	-1;	2.7469972338481083;	0.9463497565591991;
-2212;	0.938;	-1;	3.7766152810458467;	0.9705134541481142;
-2212;	0.938;	-1;	1.8372934497270705;	0.8906430376469578;
-2212;	0.938;	-1;	0.6790783072433105;	0.586417429059907;
-2212;	0.938;	-1;	2.904127040057125;	0.9515951203239259;
-2212;	0.938;	-1;	1.830365903665166;	0.8899455895828069;
-2212;	0.938;	-1;	2.557869106293166;	0.9388627123698672;
-2212;	0.938;	-1;	0.4743606754200858;	0.45128889868464245;
-2212;	0.938;	-1;	2.6655009043311164;	0.943297036166627;
-2212;	0.938;	-1;	0.9148572407545343;	0.698220337288306;
-2212;	0.938;	-1;	2.543963648244605;	0.9382533269687666;
-2212;	0.938;	-1;	1.6002030670827374;	0.8627097477862591;
-2212;	0.938;	-1;	2.689576069370227;	0.9442246580776408;
-2212;	0.938;	-1;	3.2529092422606873;	0.9608502688651364;
-2212;	0.938;	-1;	5.555652291266346;	0.9860446819696379;
-2212;	0.938;	-1;	1.394276757890269;	0.8297132910211762;
-2212;	0.938;	-1;	0.8370886757626099;	0.6658337024110503;
-2212;	0.938;	-1;	11.82570398811001;	0.9968690343846796;
-2212;	0.938;	-1;	3.0826071772681316;	0.9566898538367041;
-2212;	0.938;	-1;	1.3518287825964832;	0.8215891511893105;
-2212;	0.938;	-1;	1.2008849253567138;	0.7880852905740408;
-2212;	0.938;	-1;	2.8217796670961044;	0.9489445980924015;
-2212;	0.938;	-1;	0.9891964687345988;	0.7256352543738969;
-2212;	0.938;	-1;	7.432357588046337;	0.992130049426917;
-2212;	0.938;	-1;	3.4268265057927865;	0.9645197019219173;
-2212;	0.938;	-1;	8.585194651018462;	0.9940842708660991;
-2212;	0.938;	-1;	1.4742304597272742;	0.8436995014591171;
-2212;	0.938;	-1;	4.948307068289518;	0.9825036780845565;
-2212;	0.938;	-1;	1.7294937477134749;	0.8790383539016849;
-2212;	0.938;	-1;	1.6400045019023577;	0.8680482292532941;
-2212;	0.938;	-1;	1.9618021090476991;	0.9021795354979675;
-2212;	0.938;	-1;	0.5664767426959578;	0.5169608003103694;
-2212;	0.938;	-1;	5.600499019143294;	0.9862627194171977;
-2212;	0.938;	-1;	0.6350224995407643;	0.5606079742724208;
-2212;	0.938;	-1;	1.5489491649503415;	0.8553830910407395;
-2212;	0.938;	-1;	2.3935849973188756;	0.9310605337742199;
-2212;	0.938;	-1;	3.4144044639168407;	0.9642747636723308;
-2212;	0.938;	-1;	3.3792509086793183;	0.9635679542477517;
-2212;	0.938;	-1;	0.5409982053436037;	0.49961460842152355;
-2212;	0.938;	-1;	6.07411235050077;	0.9882854369145663;
-2212;	0.938;	-1;	1.35671583353221;	0.8225509041261309;
-2212;	0.938;	-1;	1.68191164742682;	0.8733614860529579;
-2212;	0.938;	-1;	1.139583745883996;	0.7720900417967276;
-2212;	0.938;	-1;	2.1714137266145297;	0.9180094034013612;
-2212;	0.938;	-1;	1.1014345866314532;	0.7613316291913168;
-2212;	0.938;	-1;	5.4220709616311735;	0.9853637981975147;
-2212;	0.938;	-1;	1.3498227061955212;	0.8211923207404352;
-2212;	0.938;	-1;	3.246007569351772;	0.9606933089323568;
-2212;	0.938;	-1;	2.5295618520322845;	0.9376128474449016;
-2212;	0.938;	-1;	1.7096569685670866;	0.8767159283778159;
-2212;	0.938;	-1;	3.4734274977498814;	0.9654168706819912;
-2212;	0.938;	-1;	6.535348549347512;	0.9898564297462675;
-2212;	0.938;	-1;	9.755781542952107;	0.9954095726574026;
-2212;	0.938;	-1;	2.8383649596304563;	0.9494952081082311;
-2212;	0.938;	-1;	2.6729458761187064;	0.943586277783912;
-2212;	0.938;	-1;	4.601670576529898;	0.9798506083679274;
-2212;	0.938;	-1;	1.5852159753727566;	0.8606216651053703;
-2212;	0.938;	-1;	1.8291249241888867;	0.8898199875146363;
-2212;	0.938;	-1;	5.15565242587832;	0.9838494615903279;
-2212;	0.938;	-1;	1.0878101732990917;	0.7573298687345184;
-2212;	0.938;	-1;	3.1274146686592426;	0.9578451991161047;
-2212;	0.938;	-1;	1.2090221930403098;	0.7900960614271509;
-2212;	0.938;	-1;	3.737417595716192;	0.9699194817082002;
-2212;	0.938;	-1;	2.4179116379980243;	0.9323037950501909;
-2212;	0.938;	-1;	6.252029699953129;	0.9889318148706189;
-2212;	0.938;	-1;	1.7314944437566064;	0.8792691727225552;
-2212;	0.938;	-1;	0.979592255602932;	0.7222739326222942;
-2212;	0.938;	-1;	7.2121483094305106;	0.9916482204929739;
-2212;	0.938;	-1;	3.0826071772681316;	0.9566898538367041;
-2212;	0.938;	-1;	6.06396147572212;	0.988246873792684;
-2212;	0.938;	-1;	2.4967066497688513;	0.9361151332236534;
-2212;	0.938;	-1;	4.92628122614625;	0.9823509999557474;
-2212;	0.938;	-1;	5.002339379578419;	0.9828700028864156;
-2212;	0.938;	-1;	4.144724066258694;	0.9753349906528823;
-2212;	0.938;	-1;	3.106840067368934;	0.9573203773367738;
-2212;	0.938;	-1;	6.415228762869178;	0.9894790437657491;
-2212;	0.938;	-1;	1.2087335086850204;	0.7900251587058557;
-2212;	0.938;	-1;	0.8489211842473953;	0.6710239413423912;
-2212;	0.938;	-1;	6.535348549347512;	0.9898564297462675;
-2212;	0.938;	-1;	1.7437677818072568;	0.8806716962167727;
-2212;	0.938;	-1;	3.2222631792150374;	0.9601461833924184;
-2212;	0.938;	-1;	3.485844209118073;	0.9656502786965115;
-2212;	0.938;	-1;	1.3371512026016354;	0.8186579316201716;
-2212;	0.938;	-1;	1.024093796671965;	0.7374240398185298;
-2212;	0.938;	-1;	1.0363444699524382;	0.7414094131437129;
-2212;	0.938;	-1;	1.4077240850315802;	0.8321819773125145;
-2212;	0.938;	-1;	6.192698162389638;	0.9887223043596916;
-2212;	0.938;	-1;	0.8445806579729374;	0.6691313346085256;
-2212;	0.938;	-1;	2.584675519512846;	0.9400130561530945;
-2212;	0.938;	-1;	1.746862146991857;	0.8810216876684073;
-2212;	0.938;	-1;	0.3468654104649237;	0.34683773166790977;
-2212;	0.938;	-1;	2.199966243228518;	0.9198765836998692;
-2212;	0.938;	-1;	3.746276036550964;	0.9700552518899427;
-2212;	0.938;	-1;	5.838722441926915;	0.9873400686370265;
-2212;	0.938;	-1;	3.7586840045187357;	0.9702439074634358;
-2212;	0.938;	-1;	1.1406647986564677;	0.7723856043211317;
-2212;	0.938;	-1;	1.1352362261547153;	0.7708963421253613;
-2212;	0.938;	-1;	0.6404716144313969;	0.5638933467441416;
-2212;	0.938;	-1;	3.8593362345097635;	0.9717113852580839;
-2212;	0.938;	-1;	1.4683210153642696;	0.8427207312530215;
-2212;	0.938;	-1;	1.851061991892492;	0.8920107915957027;
-2212;	0.938;	-1;	4.593632392343994;	0.9797821557219992;
-2212;	0.938;	-1;	5.24255515208074;	0.9843680747467992;
-2212;	0.938;	-1;	1.3247018577318295;	0.8161205046630344;
-2212;	0.938;	-1;	3.9589439084336484;	0.9730606945276967;
-2212;	0.938;	-1;	0.1359126361752284;	0.14339869845720005;
-2212;	0.938;	-1;	0.8691805423380117;	0.6796867109067235;
-2212;	0.938;	-1;	8.051140073104492;	0.9932815819666554;
-2212;	0.938;	-1;	1.418679979075267;	0.8341573676741031;
-2212;	0.938;	-1;	2.699387351803368;	0.9445963567507899;
-2212;	0.938;	-1;	3.9807556469896515;	0.9733434358883272;
-2212;	0.938;	-1;	5.24158433384306;	0.9843624188165656;
-2212;	0.938;	-1;	3.8910924429179268;	0.9721522131312103;
-2212;	0.938;	-1;	1.9468877313029636;	0.9008913814176056;
-2212;	0.938;	-1;	3.4268265057927865;	0.9645197019219173;
-2212;	0.938;	-1;	5.555652291266346;	0.9860446819696379;
-2212;	0.938;	-1;	5.0436072850911975;	0.9831421594053411;
-2212;	0.938;	-1;	0.23622481353416283;	0.244213514979752;
-2212;	0.938;	-1;	3.0614276899414103;	0.9561275243232308;
-2212;	0.938;	-1;	8.766047247128036;	0.9943237951967142;
-2212;	0.938;	-1;	3.4764244596718914;	0.9654734207587378;
-2212;	0.938;	-1;	0.466264134122495;	0.4451229215803889;
-2212;	0.938;	-1;	3.2483601990815303;	0.9607469169034496;
-2212;	0.938;	-1;	6.885420428902291;	0.9908479021269058;
-2212;	0.938;	-1;	1.7998238144957412;	0.8867945998962855;
-2212;	0.938;	-1;	3.173868413013684;	0.958995852796131;
-2212;	0.938;	-1;	6.299891469289829;	0.9890966212552366;
-2212;	0.938;	-1;	4.182588040680077;	0.9757635123846788;
-2212;	0.938;	-1;	2.6771266921513073;	0.9437477636659344;
-2212;	0.938;	-1;	0.8395494503696849;	0.6669211582225311;
-2212;	0.938;	-1;	3.6797397241469416;	0.9690128253586185;
-2212;	0.938;	-1;	2.6627967235085745;	0.9431914423054325;
-2212;	0.938;	-1;	1.9712547252460804;	0.9029836562832049;
-2212;	0.938;	-1;	2.747631194241687;	0.9463725554402901;
-2212;	0.938;	-1;	1.0047104193557463;	0.7309571775103962;
-2212;	0.938;	-1;	4.985490008743373;	0.9827570020080225;
-2212;	0.938;	-1;	5.393527173232574;	0.985211900540124;
-2212;	0.938;	-1;	1.9076635464588614;	0.897386324692181;
-2212;	0.938;	-1;	3.807127529114963;	0.9709638974094764;
-2212;	0.938;	-1;	2.9646161241470863;	0.9534157904300935;
